x,y,Topic,Length
8.81548,3.4775717,60,770
5.3476396,9.440671,6,713
0.89646584,2.53615,2,1363
9.330216,5.855301,3,1406
9.322962,5.9210563,3,1044
2.2442324,6.83235,4,1088
6.376015,3.9787354,1,1180
4.8020544,5.1299,24,1361
1.6901494,2.8965566,2,1006
1.7125229,6.8238554,4,657
7.1274214,3.5258076,1,1075
8.597481,1.9840825,11,412
2.6641872,6.0593257,54,564
1.9942977,2.8495648,2,559
-0.5586626,1.384898,37,607
9.212876,5.4054284,3,553
2.6595914,6.065595,54,499
2.772424,6.2559977,54,892
9.228915,5.741314,3,595
0.7738629,6.6840158,4,675
1.547025,2.9384377,2,857
5.980681,4.1011157,1,607
4.108677,4.829894,58,236
2.0538194,6.96237,4,747
9.3252,6.1861844,3,699
7.7211757,3.6605716,1,571
3.0871606,2.4201033,2,1052
2.02612,2.7579281,2,924
9.460874,5.985906,3,374
6.7338657,4.093722,1,1753
6.1723456,3.8928423,1,1164
2.0014966,7.1172996,4,653
1.6913697,2.875226,2,789
1.6576908,2.9033322,2,278
3.9344223,4.6109734,58,811
6.09326,4.049707,1,800
6.5151806,0.65540147,47,1297
5.1907926,5.345481,26,497
8.870333,4.054058,8,877
4.1488314,4.649679,58,867
1.711024,2.8941076,2,621
4.74555,9.520254,6,1349
7.295945,4.066287,1,368
4.151869,4.7071967,58,490
8.173979,4.2147098,8,893
-1.5650643,9.411726,19,1131
3.0649672,2.4123313,2,1041
9.532889,-2.625205,16,859
6.4928384,3.9098446,1,421
7.117955,-4.5437403,5,1352
9.229329,5.7091603,3,596
7.3063803,4.051284,1,778
9.397476,5.8836718,3,544
9.328327,5.831789,3,1210
6.498278,4.2376204,1,900
0.82903165,6.934864,4,442
9.301062,5.8292894,3,613
5.373874,9.442417,6,586
1.2931461,5.817072,44,1257
1.7462919,2.9104395,2,1620
9.3115,5.8571396,3,1190
2.178824,6.767642,4,839
6.0305324,3.910266,1,709
5.345871,9.51716,6,634
5.6597214,4.14825,1,1104
5.773726,1.4547017,31,862
7.633858,3.6174364,1,463
2.8196206,6.2330866,54,428
0.79532754,6.540291,4,544
0.8801923,2.5445008,2,533
0.871415,6.9231114,4,812
2.4824615,7.6898837,61,707
6.312159,3.2899911,1,555
2.7731895,6.241111,54,505
0.8272112,7.068176,4,727
7.538065,4.254975,1,426
6.667177,4.0434833,1,938
